id,type,direction,strat,input,reference,slang_term,meaning,base_output,tuned_output,base_rater1,base_rater2,tuned_rater1,tuned_rater2
e2e_000,translate,to_english,real,She has such beta af energy today.,She has such extremely beta energy today.,beta af,extremely beta,"The translation of ""beta af energy"" is not a standard phrase, but I can provide you with an educated guess.

It appears that someone might be saying she's having low-key or subtle high-energy vibes (""af"") on this particular day (possibly referring to her personality, mood, or behavior). 

However, if we break down the words:

- 'Beta' sounds like it could mean something",She hassuch extremelybeta energy today..,,,,
e2s_000,translate,to_slang,real,She has such extremely beta energy today.,She has such beta af energy today.,beta af,extremely beta,"To translate that into Gen Z-speak, you could say:

""She's low-key savage and high-key extra today.""

Here's a breakdown of the translation:

- ""Low-key"" means secretly or quietly.
- ""Savage"" refers to someone who is being ruthless, cunning, or brutally honest (in a good way).
- ""High-key"" emphasizes something strongly.

Alternatively, if you want",she hash so bet afd energyy today..,,,,
e2e_001,translate,to_english,trending,He was being totally lowkey take at the party.,He was being totally somewhat secretly at the party.,lowkey take,somewhat secretly,"The translation is:

""He was acting very casually and quietly, not drawing attention to himself, likely trying to keep a low profile or avoid notice, possibly while attending 'a party'."" 

In informal language, this could be shortened as ""he's been keeping it really quiet"" but in more formal contexts you would use full sentence for better clarity of meaning.

Note that slang terms like 'lowkey",He was behaving in an extremely somewhat secretly way at the event.,,,,
e2s_001,translate,to_slang,trending,He was being totally somewhat secretly at the party.,He was being totally lowkey take at the party.,lowkey take,somewhat secretly,"Here's a translation of that sentence into Gen Z-speak:

""He was low-key ghosting us, but also kinda trying not to get caught.""

Or another way could be:

""His vibe was hella subtle, and he didn't want anyone to know."" 

In this context ""low-key"", means something is secretive or hidden; 'ghosting' refers to someone who suddenly stops responding to","heeerrr, he wasss beingg totally lowkeyy aftter that whole thing..",,,,
e2e_002,translate,to_english,viral,My friend group chat was giving fr energy all day.,My friend group chat was giving extremely for real energy all day.,so fr,extremely for real,"The translation of the given phrase is:

""My friends' group chat gave me a lot of energy throughout the entire day."" 

However, it's worth noting that ""fr"" seems out of place in this context as 'fr' isn't typically used in standard written language; instead, you might be referring to something like 'for', but without more information or clarification on what exactly 'fr energy'","My friend's text message conversation with me earlier today had a very specific and somewhat negative feeling that I will describe below, but first let’s talk about the word “fr” which is an abbreviation for ""for real"" or in other words it means something you really believe are true without any doubt at all! So when someone says they’re not trying hard enough then what do we say? For Real",,,,
e2s_002,translate,to_slang,viral,My friend group chat was giving extremely for real energy all day.,My friend group chat was giving fr energy all day.,so fr,extremely for real,"The translation would be:

""My squad's Discord or WhatsApp is hella lit and lowkey savage the whole time.""

Here, I used some popular Gen Z terms:

- ""Squad"" refers to a close-knit group of friends.
- ""Discord"" (or other platforms) are often where groups communicate online.
- The phrase ""hella lit"" means something is very exciting or fun",my friendg chat was giveing fr af energyy today..,,,,
e2e_003,translate,to_english,real,That fit is so he cooked.,That outfit is so he did it perfectly.,so he cooked,extremely he did it perfectly,"The translation of ""Those fits are so"" or more likely, the correct phrase would be:

""That fit was for him""

However if you're referring to a situation where someone cooks because they have that particular type/fit (e.g., an apron) then it could mean 

""He's cooking in his favorite 'that' / those kind of clothes.""",That outfit is very he did it perfectly.,,,,
e2s_003,translate,to_slang,real,That outfit is so he did it perfectly.,That fit is so he cooked.,so he cooked,extremely he did it perfectly,"In Gen Z-speak, the translation would be:

""That fit is fire.""

Here's a breakdown of what I used from your original sentence and replaced with more modern terms:

- ""outfit"" became ""fit""
- The phrase ""so he did"" was shortened to just ""he"", implying that someone (likely male) pulled off an amazing look.
- Instead of saying something was done """,that fit is soe he cooked..,,,,
e2e_004,translate,to_english,trending,"You cooked so hard, that was peak ghosted af.","You did so well, that was peak extremely stopped responding completely.",ghosted af,extremely stopped responding completely,"The translation of the given phrase is:

""You worked very hard; it's extremely disappointing.""

Here's a breakdown of how I translated each part:

- ""cooked"" = ""worked""
- ""so hard"" = added emphasis on the intensity of working (not literally cooking)
- ""that"" refers back to your effort/ work.
- ""was peak"" means 'it reached its highest point'","You did very well, that performance showed extremely stopped responding completely and that is funny.",,,,
e2s_004,translate,to_slang,trending,"You did so well, that was peak extremely stopped responding completely.","You cooked so hard, that was peak ghosted af.",ghosted af,extremely stopped responding completely,"Here's the translation:

""You crushed it (did an amazing job), but then you totally went off the rails and just shut down entirely.""

Or in a more concise version for Gen Z:

""Yaaas, you killed it! But then you lost all steam."" 

Note: 'peak' is used here as ""went peak"", meaning something has reached its highest or most extreme point before falling","you cookedd so hard,, thatt was peake ghosted..",,,,
