id,type,direction,strat,input,reference,slang_term,meaning,base_output,tuned_output,base_rater1,base_rater2,tuned_rater1,tuned_rater2
e2e_000,translate,to_english,grok_heldout,"Serena is the GOAT, nobody touches her record.","Serena is the greatest ever, nobody touches her record.",GOAT,greatest of all time,Serena Williams is considered the Greatest of All Time (GOAT) in tennis and no one has been able to surpass or even come close to breaking her records.,I think Serena Williams has broken every tennis record ever made and still keeps improving so she's basically unbeatable in my opinion! Nobody can beat that level of skill or work ethic - it’s just not fair for everyone else out there because they’re all trying their best but will never be able to match,,,,
e2s_000,translate,to_slang,grok_heldout,"Serena is the greatest ever, nobody touches her record.","Serena is the GOAT, nobody touches her record.",GOAT,greatest of all time,"""Serena's a GOAT for real, no one can touch that.""",SIR,,,,
e2e_001,translate,to_english,grok_heldout,I still have a soft spot for that band from high school.,I still really love that band from high school.,Soft Spot,special affection,I still secretly admire the music group I used to enjoy in my teenage years.,My heart is always going back to those old bands I loved in college.,,,,
e2s_001,translate,to_slang,grok_heldout,I still really love that band from high school.,I still have a soft spot for that band from high school.,Soft Spot,special affection,"""I'm low-key obsessed with those old-school vibes."" 

or 
""Lowkey, I've been reppin' them since freshman year.""

(or)

 ""They're hella nostalgic for me""

(Or) 'they hold a special place in my heart.'","Still a stan for their old discography, fr.",,,,
e2e_002,translate,to_english,grok_heldout,You look 6Y as hell in that outfit tonight.,You look really sexy in that outfit tonight.,6Y,sexy,I don't understand what you're saying. Can I help with something else?,I think you're really cute when dressed up like this.,,,,
e2s_002,translate,to_slang,grok_heldout,You look really sexy in that outfit tonight.,You look 6Y as hell in that outfit tonight.,6Y,sexy,"""Yaaas, you're serving looks like a total babe!"" or ""Lowkey obsessed with how cute you are right now.""","YLSIT, you're looking so hot right now!",,,,
e2e_003,translate,to_english,grok_heldout,"Straight up, that movie dragged way too long.","Honestly, that movie dragged way too long.",Straight Up,honestly,The film was overly prolonged without any justification.,Honestly the whole thing felt like it went on forever and was boring at times because of how slow paced everything is in this film which makes me feel so bored when watching movies with my friends or family members who are also really tired from work after a very tiring day full of lots of things they have,,,,
e2s_003,translate,to_slang,grok_heldout,"Honestly, that movie dragged way too long.","Straight up, that movie dragged way too long.",Straight Up,honestly,It was hella slow and felt like it lasted forever tho.,That flick was a total drag for like an hour straight.,,,,
e2e_004,translate,to_english,grok_heldout,It's clear skies now that the project got approved.,Everything's fine now that the project got approved.,Clear Skies,no problems,The weather is good because the project has been given approval.,The weather is good again after we finally finished this thing.,,,,
e2s_004,translate,to_slang,grok_heldout,Everything's fine now that the project got approved.,It's clear skies now that the project got approved.,Clear Skies,no problems,"Lowkey, everything is hella good rn cuz it passed thru approval.",EFGN on this whole thing getting greenlit finally!,,,,
